episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_healthy_workers,timesteps_total,timesteps_this_iter,agent_timesteps_total,done,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time,scenario_name,policy_reward_min/metanash,policy_reward_min/best_response,policy_reward_max/metanash,policy_reward_max/best_response,policy_reward_mean/metanash,policy_reward_mean/best_response,sampler_perf/mean_raw_obs_processing_ms,sampler_perf/mean_inference_ms,sampler_perf/mean_action_processing_ms,sampler_perf/mean_env_wait_ms,sampler_perf/mean_env_render_ms,timers/load_time_ms,timers/load_throughput,timers/learn_time_ms,timers/learn_throughput,timers/update_time_ms,info/num_steps_sampled,info/num_agent_steps_sampled,info/num_steps_trained,info/num_steps_trained_this_iter,info/num_agent_steps_trained,info/last_target_update_ts,info/num_target_updates,perf/cpu_util_percent,perf/ram_util_percent,info/learner/best_response/loss,info/learner/best_response/num_agent_steps_trained,info/learner/best_response/learner_stats/allreduce_latency
0.0,0.0,0.0,2.411,413,4,25600,4096,25599,False,10969,10,default,bc3a8da5607641b2a2c44a68c9b912ba,2022-05-05_16-14-36,1651738476,0.5662069320678711,9.267001867294312,2851445,sjtu-marl1,192.168.2.51,9.267001867294312,40960,10,1.5560460090637207,kuhn_psro_dqn,-2.0,-2.0,2.0,2.0,0.076,-0.076,0.23859368020646712,0.43712505939994456,0.02762909483279635,0.08162688976648629,0.0,0.129,31638801.444,6.243,656058.243,1.276,25600,25599,40960,4096,81920,16384,1,11.5,4.6,0.5985651612281799,4096.0,0.0
0.0,0.0,0.0,2.487,415,4,35840,4096,35837,False,15100,20,default,bc3a8da5607641b2a2c44a68c9b912ba,2022-05-05_16-14-42,1651738482,0.6161112785339355,14.42347502708435,2851445,sjtu-marl1,192.168.2.51,14.42347502708435,81920,20,1.5560460090637207,kuhn_psro_dqn,-2.0,-2.0,2.0,2.0,-0.071,0.071,0.23774885333630255,0.4390802024677672,0.02785414532428351,0.08232492702287146,0.0,0.128,32034065.232,5.909,693164.298,1.294,35840,35837,81920,4096,163840,26624,2,6.3,4.6,0.5284568071365356,4096.0,0.0
0.0,0.0,0.0,2.639,384,4,46080,4096,46077,False,19427,30,default,bc3a8da5607641b2a2c44a68c9b912ba,2022-05-05_16-14-47,1651738487,0.5762231349945068,19.807032585144043,2851445,sjtu-marl1,192.168.2.51,19.807032585144043,122880,30,1.5560460090637207,kuhn_psro_dqn,-2.0,-2.0,2.0,2.0,-0.014,0.014,0.24276348112946566,0.44474329078635366,0.02828619970966598,0.08362497316920209,0.0,0.129,31867685.372,6.39,641027.935,1.323,46080,46077,122880,4096,245760,36864,3,,,0.6583685874938965,4096.0,0.0
0.0,0.0,0.0,2.596,403,4,56320,4096,56317,False,23334,40,default,bc3a8da5607641b2a2c44a68c9b912ba,2022-05-05_16-14-52,1651738492,0.4673774242401123,25.14414095878601,2851445,sjtu-marl1,192.168.2.51,25.14414095878601,163840,40,1.5560460090637207,kuhn_psro_dqn,-2.0,-2.0,2.0,2.0,-0.128,0.128,0.23994753027197566,0.4461890988530304,0.028396070395972597,0.0838779431408361,0.0,0.124,32943181.561,5.961,687156.287,1.399,56320,56317,163840,4096,327680,47104,4,8.6,4.7,0.6209134459495544,4096.0,0.0
0.0,0.0,0.0,2.469,417,4,66560,4096,66557,False,27482,50,default,bc3a8da5607641b2a2c44a68c9b912ba,2022-05-05_16-14-58,1651738498,0.46687841415405273,30.560817003250122,2851445,sjtu-marl1,192.168.2.51,30.560817003250122,204800,50,1.5560460090637207,kuhn_psro_dqn,-2.0,-2.0,2.0,2.0,-0.17,0.17,0.2405769559446349,0.44830028991465337,0.028559494457332163,0.08429835688587282,0.0,0.131,31298723.236,5.911,692912.683,1.376,66560,66557,204800,4096,409600,57344,5,,,0.6352162957191467,4096.0,0.0
0.0,0.0,0.0,2.604,383,4,76800,4096,76797,False,31542,60,default,bc3a8da5607641b2a2c44a68c9b912ba,2022-05-05_16-15-03,1651738503,0.47968554496765137,35.933595418930054,2851445,sjtu-marl1,192.168.2.51,35.933595418930054,245760,60,1.5560460090637207,kuhn_psro_dqn,-2.0,-2.0,2.0,2.0,-0.144,0.144,0.24114968506255807,0.45058766571428976,0.028723351042353344,0.08476896436013942,0.0,0.129,31802793.75,5.9,694214.666,1.429,76800,76797,245760,4096,491520,67584,6,7.9,4.6,0.7175250053405762,4096.0,0.0
0.0,0.0,0.0,2.663,386,4,87040,4096,87039,False,35398,70,default,bc3a8da5607641b2a2c44a68c9b912ba,2022-05-05_16-15-09,1651738509,0.6992602348327637,41.56063413619995,2851445,sjtu-marl1,192.168.2.51,41.56063413619995,286720,70,1.5560460090637207,kuhn_psro_dqn,-2.0,-2.0,2.0,2.0,-0.176,0.176,0.24037042760213126,0.45234077642481074,0.028857271855172235,0.08507884023933221,0.0,0.134,30661911.804,6.288,651438.605,1.323,87040,87039,286720,4096,573440,77824,7,8.0,4.6,0.6903405785560608,4096.0,0.0
0.0,0.0,0.0,2.502,404,4,97280,4096,97277,False,39463,80,default,bc3a8da5607641b2a2c44a68c9b912ba,2022-05-05_16-15-14,1651738514,0.43397068977355957,46.96350312232971,2851445,sjtu-marl1,192.168.2.51,46.96350312232971,327680,80,1.5560460090637207,kuhn_psro_dqn,-2.0,-2.0,2.0,2.0,-0.079,0.079,0.2400752052122602,0.45274739194288544,0.028860767846283338,0.08511710976560352,0.0,0.136,30166583.291,6.695,611772.951,1.393,97280,97277,327680,4096,655360,88064,8,8.6,4.7,0.6728922128677368,4096.0,0.0
0.0,0.0,0.0,2.652,383,4,107520,4096,107518,False,43375,90,default,bc3a8da5607641b2a2c44a68c9b912ba,2022-05-05_16-15-20,1651738520,0.4777817726135254,52.87031030654907,2851445,sjtu-marl1,192.168.2.51,52.87031030654907,368640,90,1.5560460090637207,kuhn_psro_dqn,-2.0,-2.0,2.0,2.0,-0.089,0.089,0.23983423468842088,0.454136712869648,0.028946870511634644,0.08532244522249922,0.0,0.141,29098694.417,6.24,656439.274,1.339,107520,107518,368640,4096,737280,98304,9,6.7,4.7,0.7674023509025574,4096.0,0.0
0.0,0.0,0.0,2.508,412,4,117760,4096,117757,False,47433,100,default,bc3a8da5607641b2a2c44a68c9b912ba,2022-05-05_16-15-26,1651738526,0.7853090763092041,58.819843769073486,2851445,sjtu-marl1,192.168.2.51,58.819843769073486,409600,100,1.5560460090637207,kuhn_psro_dqn,-2.0,-2.0,2.0,2.0,-0.202,0.202,0.24000033907783558,0.4570930952934763,0.028994887983459998,0.08546991310015087,0.0,0.133,30694781.461,6.106,670810.882,1.401,117760,117757,409600,4096,819200,108544,10,7.6,4.7,0.7468034029006958,4096.0,0.0
0.0,0.0,0.0,2.65,388,4,128000,4096,127997,False,51340,110,default,bc3a8da5607641b2a2c44a68c9b912ba,2022-05-05_16-15-32,1651738532,0.7311756610870361,64.30738353729248,2851445,sjtu-marl1,192.168.2.51,64.30738353729248,450560,110,1.5560460090637207,kuhn_psro_dqn,-2.0,-2.0,2.0,2.0,-0.128,0.128,0.23918700667414033,0.45638173841904905,0.028983036257030817,0.0854194704634005,0.0,0.13,31557437.884,5.731,714711.147,1.367,128000,127997,450560,4096,901120,118784,11,7.2,4.7,0.7567338943481445,4096.0,0.0
0.0,0.0,0.0,2.653,385,4,138240,4096,138237,False,55338,120,default,bc3a8da5607641b2a2c44a68c9b912ba,2022-05-05_16-15-37,1651738537,0.4257383346557617,69.41269516944885,2851445,sjtu-marl1,192.168.2.51,69.41269516944885,491520,120,1.5560460090637207,kuhn_psro_dqn,-2.0,-2.0,2.0,2.0,-0.166,0.166,0.23862339110005823,0.4554530021995703,0.02894923890365047,0.08532316878691688,0.0,0.134,30541989.66,5.556,737225.863,1.3,138240,138237,491520,4096,983040,129024,12,7.6,4.8,0.7707833647727966,4096.0,0.0
